movieId,title,genres,tags
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,fun
2,Jumanji (1995),Adventure|Children|Fantasy,fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,magic board game
2,Jumanji (1995),Adventure|Children|Fantasy,Robin Williams
2,Jumanji (1995),Adventure|Children|Fantasy,game
3,Grumpier Old Men (1995),Comedy|Romance,moldy
3,Grumpier Old Men (1995),Comedy|Romance,old
5,Father of the Bride Part II (1995),Comedy,pregnancy
5,Father of the Bride Part II (1995),Comedy,remake
7,Sabrina (1995),Comedy|Romance,remake
11,American President,,
11,American President,,
14,Nixon (1995),Drama,politics
14,Nixon (1995),Drama,president
16,Casino (1995),Crime|Drama,Mafia
17,Sense and Sensibility (1995),Drama|Romance,Jane Austen
21,Get Shorty (1995),Comedy|Crime|Thriller,Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serial killer
25,Leaving Las Vegas (1995),Drama|Romance,alcoholism
26,Othello (1995),Drama,Shakespeare
28,Persuasion (1995),Drama|Romance,In Netflix queue
28,Persuasion (1995),Drama|Romance,Jane Austen
29,City of Lost Children,,
31,Dangerous Minds (1995),Drama,high school
31,Dangerous Minds (1995),Drama,teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Brad Pitt
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Bruce Willis
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,mindfuck
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Post apocalyptic
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,post-apocalyptic
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,remake
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,twist ending
34,Babe (1995),Children|Drama,Animal movie
34,Babe (1995),Children|Drama,pigs
34,Babe (1995),Children|Drama,villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,death penalty
36,Dead Man Walking (1995),Crime|Drama,Nun
38,It Takes Two (1995),Children|Comedy,twins
39,Clueless (1995),Comedy|Romance,chick flick
39,Clueless (1995),Comedy|Romance,funny
39,Clueless (1995),Comedy|Romance,Paul Rudd
39,Clueless (1995),Comedy|Romance,quotable
39,Clueless (1995),Comedy|Romance,seen more than once
39,Clueless (1995),Comedy|Romance,Emma
39,Clueless (1995),Comedy|Romance,Jane Austen
40,Cry,,
40,Cry,,
41,Richard III (1995),Drama|War,Shakespeare
43,Restoration (1995),Drama,England
45,To Die For (1995),Comedy|Drama|Thriller,Journalism
46,How to Make an American Quilt (1995),Drama|Romance,wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,twist ending
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,serial killer
50,Usual Suspects,,
50,Usual Suspects,,
50,Usual Suspects,,
50,Usual Suspects,,
50,Usual Suspects,,
50,Usual Suspects,,
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,adoption
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,prostitution
58,Postman,,
62,Mr. Holland's Opus (1995),Drama,music
92,Mary Reilly (1996),Drama|Horror|Thriller,Jekyll and Hyde
96,In the Bleak Midwinter (1995),Comedy|Drama,theater
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,crime
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,off-beat comedy
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,quirky
104,Happy Gilmore (1996),Comedy,test tag
104,Happy Gilmore (1996),Comedy,golf
104,Happy Gilmore (1996),Comedy,Adam Sandler
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,muppets
110,Braveheart (1995),Action|Drama|War,beautiful scenery
110,Braveheart (1995),Action|Drama|War,epic
110,Braveheart (1995),Action|Drama|War,historical
110,Braveheart (1995),Action|Drama|War,inspirational
110,Braveheart (1995),Action|Drama|War,Medieval
110,Braveheart (1995),Action|Drama|War,mel gibson
110,Braveheart (1995),Action|Drama|War,Oscar (Best Cinematography)
110,Braveheart (1995),Action|Drama|War,revenge
110,Braveheart (1995),Action|Drama|War,sword fight
110,Braveheart (1995),Action|Drama|War,Scotland
111,Taxi Driver (1976),Crime|Drama|Thriller,assassination
116,Anne Frank Remembered (1995),Documentary,Holocaust
122,Boomerang (1992),Comedy|Romance,dating
140,Up Close and Personal (1996),Drama|Romance,journalism
147,Basketball Diaries,,
147,Basketball Diaries,,
147,Basketball Diaries,,
147,Basketball Diaries,,
150,Apollo 13 (1995),Adventure|Drama|IMAX,moon
150,Apollo 13 (1995),Adventure|Drama|IMAX,NASA
150,Apollo 13 (1995),Adventure|Drama|IMAX,space
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,superhero
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,superhero
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Michael Crichton
161,Crimson Tide (1995),Drama|Thriller|War,submarine
162,Crumb (1994),Documentary,In Netflix queue
175,Kids (1995),Drama,controversial
175,Kids (1995),Drama,New York City
